Sample,Time_ms,Raw_Bytes
237,389977,55 10 0 4 3 7 1 1 2 220 189
238,390978,55 10 0 4 3 7 1 1 4 92 191
239,392978,55 11 0 4 3 6 0 0 224 64 149 165
240,394978,55 11 0 4 3 6 0 0 32 65 4 101
241,396990,55 11 0 4 3 6 0 0 224 64 149 165
242,398978,55 11 0 4 3 6 0 0 32 65 4 101
243,400978,55 11 0 4 3 6 0 0 48 65 9 165
244,401977,55 10 0 4 3 7 1 1 3 29 125
245,402978,55 11 0 4 3 6 0 0 16 65 16 101
246,403979,55 10 0 4 3 7 1 1 4 92 191
247,405978,55 11 0 4 3 6 0 0 192 64 140 101
248,407979,55 11 0 4 3 6 0 0 32 65 4 101
249,409978,55 11 0 4 3 6 0 0 128 65 124 101
250,411978,55 11 0 4 3 6 0 0 128 65 124 101
